size,quant,status,disk_bytes,peak_rss_bytes,prefill_tps,decode_tps,perplexity,notes
0.5B,Q8_0,ok,531068480,630988800,27.94,7.25,16.3398,
0.5B,Q6_K,ok,505736768,605917184,25.26,7.63,16.3176,
0.5B,Q5_K_M,ok,420086336,520257536,20.55,9.05,16.5169,
0.5B,Q4_K_M,ok,397808192,498257920,21.76,9.47,16.6114,
0.5B,Q3_K_M,ok,355466656,455655424,24.24,10.47,16.8431,
0.5B,Q2_K,ok,338607520,438784000,22.12,10.66,19.0298,
1.5B,Q8_0,ok,1646573312,1786560512,7.65,2.33,10.9337,
1.5B,Q6_K,ok,1272740096,1412988928,5.69,3.02,11.0523,
1.5B,Q5_K_M,ok,1125050624,1265291264,6.08,3.15,11.0374,
1.5B,Q4_K_M,ok,986048768,1126436864,7.52,3.86,11.3155,
1.5B,Q3_K_M,ok,824178784,964542464,6.13,4.06,12.2908,
1.5B,Q2_K,ok,676304992,816558080,6.85,4.84,15.0613,
3B,Q8_0,ok,3285476512,3447230464,3.54,1.15,9.5473,
3B,Q6_K,ok,2538159264,2699661312,2.68,1.54,9.7178,
3B,Q5_K_M,ok,2224815264,2386636800,2.87,1.72,9.7658,
3B,Q4_K_M,ok,1929903264,2091503616,3.58,1.92,9.9211,
3B,Q3_K_M,ok,1590475936,1752297472,2.93,2.13,14.1451,
3B,Q2_K,ok,1274756256,1436577792,3.28,2.6,13.1034,
